,0,ngram
"('art', 'pensacola')",1,art pensacola
"('shipyard', 'connecticut')",1,shipyard connecticut
"('salida', 'museum')",1,salida museum
"('nelson', 'museum')",1,nelson museum
"('technology', 'foundation')",1,technology foundation
"('education', 'technology')",1,education technology
"('phyllis', 'marine')",1,phyllis marine
"('ii', 'history')",1,ii history
"('unicoi', 'county')",1,unicoi county
"('west', 'unicoi')",1,west unicoi
"('marine', 'association')",1,marine association
"('dakota', 'nelson')",1,dakota nelson
"('society', 'phyllis')",1,society phyllis
"('conservation', 'museum')",1,conservation museum
"('civilian', 'conservation')",1,civilian conservation
"('inc', 'civilian')",1,inc civilian
"('tammany', 'inc')",1,tammany inc
"('st', 'tammany')",1,st tammany
"('open', 'air')",1,open air
"('goldwell', 'open')",1,goldwell open
"('foundation', 'tomahawk')",1,foundation tomahawk
"('tomahawk', 'boat')",1,tomahawk boat
"('fort', 'tuthill')",1,fort tuthill
"('tuthill', 'military')",1,tuthill military
"('perry', 'shipyard')",1,perry shipyard
"('hazard', 'perry')",1,hazard perry
"('oliver', 'hazard')",1,oliver hazard
"('city', 'school')",1,city school
"('putnam', 'city')",1,putnam city
"('fame', 'putnam')",1,fame putnam
"('boating', 'hall')",1,boating hall
"('sailing', 'boating')",1,sailing boating
"('international', 'sailing')",1,international sailing
"('dakota', 'international')",1,dakota international
"('lpc', 'county')",1,lpc county
"('museum', 'lpc')",1,museum lpc
"('ag', 'museum')",1,ag museum
"('historical', 'ag')",1,historical ag
"('friend', 'historical')",1,friend historical
"('inc', 'salida')",1,inc salida
"('association', 'indiana')",1,association indiana
"('history', 'corporation')",1,history corporation
"('conrad', 'depot')",1,conrad depot
"('figler', 'family')",1,figler family
"('foundation', 'hope')",1,foundation hope
"('inc', 'figler')",1,inc figler
"('mackinac', 'maritime')",1,mackinac maritime
"('icebreaker', 'mackinac')",1,icebreaker mackinac
"('inc', 'icebreaker')",1,inc icebreaker
"('depot', 'society')",1,depot society
"('technology', 'conrad')",1,technology conrad
"('colorado', 'plateau')",1,colorado plateau
"('hope', 'valley')",1,hope valley
"('foundation', 'washington')",1,foundation washington
"('marianne', 'foundation')",1,marianne foundation
"('damien', 'marianne')",1,damien marianne
"('inc', 'damien')",1,inc damien
"('valley', 'equine')",1,valley equine
"('horseman', 'hall')",1,horseman hall
"('foundation', 'oakshott')",1,foundation oakshott
"('oakshott', 'institute')",1,oakshott institute
"('noelke', 'foundation')",1,noelke foundation
"('institute', 'pacific')",1,institute pacific
"('america', 'living')",1,america living
"('ironhorse', 'museum')",1,ironhorse museum
"('inc', 'ironhorse')",1,inc ironhorse
"('idaho', 'rodeo')",1,idaho rodeo
"('museum', 'pierce')",1,museum pierce
"('pine', 'river')",1,pine river
"('pierce', 'arrow')",1,pierce arrow
"('shore', 'life')",1,shore life
"('arrow', 'foundation')",1,arrow foundation
"('anne', 'museum')",1,anne museum
"('museum', 'queen')",1,museum queen
"('foundation', 'noelke')",1,foundation noelke
"('immigration', 'museum')",1,immigration museum
"('coast', 'immigration')",1,coast immigration
"('pacific', 'coast')",1,pacific coast
"('plateau', 'horseman')",1,plateau horseman
"('gallery', 'colorado')",1,gallery colorado
"('indiana', 'live')",1,indiana live
"('haynie', 'family')",1,haynie family
"('national', 'speedskating')",1,national speedskating
"('upper', 'valley')",1,upper valley
"('rxd', 'upper')",1,rxd upper
"('faith', 'rxd')",1,faith rxd
"('inc', 'faith')",1,inc faith
"('ten', 'museum')",1,ten museum
"('sun', 'ten')",1,sun ten
"('isle', 'air')",1,isle air
"('automotive', 'gallery')",1,automotive gallery
"('historical', 'collection')",1,historical collection
"('fund', 'wilson')",1,fund wilson
"('collection', 'kenesaw')",1,collection kenesaw
"('inc', 'butler')",1,inc butler
"('hitch', 'inc')",1,hitch inc
"('teamster', 'hitch')",1,teamster hitch
"('incorporated', 'teamster')",1,incorporated teamster
"('speedskating', 'museum')",1,speedskating museum
"('society', 'haynie')",1,society haynie
"('force', 'organization')",1,force organization
"('organization', 'texas')",1,organization texas
"('smith', 'automotive')",1,smith automotive
"('museum', 'smith')",1,museum smith
"('niagara', 'museum')",1,niagara museum
"('tesla', 'niagara')",1,tesla niagara
"('rememberusorg', 'tesla')",1,rememberusorg tesla
"('museum', 'rememberusorg')",1,museum rememberusorg
"('equine', 'rescueand')",1,equine rescueand
"('andautomobile', 'museum')",1,andautomobile museum
"('aeroplane', 'andautomobile')",1,aeroplane andautomobile
"('rescueand', 'sanctuary')",1,rescueand sanctuary
"('antique', 'aeroplane')",1,antique aeroplane
"('sanctuary', 'inc')",1,sanctuary inc
"('western', 'antique')",1,western antique
"('military', 'education')",1,military education
"('texas', 'military')",1,texas military
"('buckeye', 'childrens')",1,buckeye childrens
"('tatter', 'blue')",1,tatter blue
"('ball', 'organization')",1,ball organization
"('mate', 'u')",1,mate u
"('chumash', 'museum')",1,chumash museum
"('inc', 'chumash')",1,inc chumash
"('depot', 'daughter')",1,depot daughter
"('eagleswood', 'historical')",1,eagleswood historical
"('war', 'governor')",1,war governor
"('inc', 'eagleswood')",1,inc eagleswood
"('u', 'inc')",1,u inc
"('museo', 'mate')",1,museo mate
"('foundation', 'lake')",1,foundation lake
"('people', 'museo')",1,people museo
"('palestinian', 'people')",1,palestinian people
"('museum', 'palestinian')",1,museum palestinian
"('pedro', 'heritage')",1,pedro heritage
"('san', 'pedro')",1,san pedro
"('houston', 'maritime')",1,houston maritime
"('governor', 'frank')",1,governor frank
"('cultural', 'education')",1,cultural education
"('il', 'depot')",1,il depot
"('blue', 'archive')",1,blue archive
"('irish', 'history')",1,irish history
"('artifact', 'estate')",1,artifact estate
"('judaica', 'artifact')",1,judaica artifact
"('askenaz', 'judaica')",1,askenaz judaica
"('society', 'askenaz')",1,society askenaz
"('stewart', 'area')",1,stewart area
"('inc', 'stewart')",1,inc stewart
"('montana', 'aviation')",1,montana aviation
"('newport', 'irish')",1,newport irish
"('society', 'county')",1,society county
"('nfp', 'museum')",1,nfp museum
"('floating', 'museum')",1,floating museum
"('museum', 'floating')",1,museum floating
"('colorado', 'model')",1,colorado model
"('foundation', 'colorado')",1,foundation colorado
"('chadbourne', 'foundation')",1,chadbourne foundation
"('fort', 'chadbourne')",1,fort chadbourne
"('lowrider', 'museum')",1,lowrider museum
"('espanola', 'lowrider')",1,espanola lowrider
"('inc', 'espanola')",1,inc espanola
"('society', 'save')",1,society save
"('maritime', 'explorium')",1,maritime explorium
"('clement', 'railroad')",1,clement railroad
"('experience', 'inc')",1,experience inc
"('wildlife', 'experience')",1,wildlife experience
"('neon', 'inc')",1,neon inc
"('kc', 'neon')",1,kc neon
"('save', 'kc')",1,save kc
"('aeronautical', 'society')",1,aeronautical society
"('field', 'inc')",1,field inc
"('england', 'aeronautical')",1,england aeronautical
"('limestone', 'school')",1,limestone school
"('mayville', 'limestone')",1,mayville limestone
"('musuem', 'mayville')",1,musuem mayville
"('technology', 'musuem')",1,technology musuem
"('diesel', 'technology')",1,diesel technology
"('schroeter', 'diesel')",1,schroeter diesel
"('explorium', 'port')",1,explorium port
"('port', 'jeff')",1,port jeff
"('jeff', 'harbor')",1,jeff harbor
"('harbor', 'albuquerque')",1,harbor albuquerque
"('garner', 'field')",1,garner field
"('frank', 'g')",1,frank g
"('hydros', 'aviation')",1,hydros aviation
"('vintage', 'hydros')",1,vintage hydros
"('corporation', 'vintage')",1,corporation vintage
"('yreka', 'preservation')",1,yreka preservation
"('seaport', 'yreka')",1,seaport yreka
"('g', 'clement')",1,g clement
"('waterway', 'seaport')",1,waterway seaport
"('fo', 'waterway')",1,fo waterway
"('engineer', 'fo')",1,engineer fo
"('module', 'engineer')",1,module engineer
"('ho', 'module')",1,ho module
"('society', 'ho')",1,society ho
"('albuquerque', 'society')",1,albuquerque society
"('estate', 'lorain')",1,estate lorain
"('lorain', 'sport')",1,lorain sport
"('columbia', 'il')",1,columbia il
"('gilliam', 'mill')",1,gilliam mill
"('maintenance', 'association')",1,maintenance association
"('restoration', 'maintenance')",1,restoration maintenance
"('eastern', 'washington')",1,eastern washington
"('clamagore', 'restoration')",1,clamagore restoration
"('us', 'clamagore')",1,us clamagore
"('park', 'us')",1,park us
"('mill', 'park')",1,mill park
"('ole', 'gilliam')",1,ole gilliam
"('hill', 'country')",1,hill country
"('inc', 'ole')",1,inc ole
"('indiana', 'steel')",1,indiana steel
"('northwest', 'indiana')",1,northwest indiana
"('society', 'northwest')",1,society northwest
"('dearborn', 'historical')",1,dearborn historical
"('association', 'dearborn')",1,association dearborn
"('washington', 'cavalry')",1,washington cavalry
"('inc', 'bailey')",1,inc bailey
"('bailey', 'school')",1,bailey school
"('association', 'gallipolis')",1,association gallipolis
"('kingman', 'eastern')",1,kingman eastern
"('inc', 'piermont')",1,inc piermont
"('preston', 'museum')",1,preston museum
"('regional', 'military')",1,regional military
"('planetarium', 'inc')",1,planetarium inc
"('center', 'kingman')",1,center kingman
"('history', 'planetarium')",1,history planetarium
"('schiele', 'museum')",1,schiele museum
"('fraser', 'schiele')",1,fraser schiele
"('historic', 'fraser')",1,historic fraser
"('history', 'historic')",1,history historic
"('zephyrhills', 'museum')",1,zephyrhills museum
"('society', 'zephyrhills')",1,society zephyrhills
"('walcott', 'historical')",1,walcott historical
"('inc', 'walcott')",1,inc walcott
"('rochester', 'inc')",1,rochester inc
"('country', 'association')",1,country association
"('texas', 'hill')",1,texas hill
"('frederick', 'hart')",1,frederick hart
"('veteran', 'friend')",1,veteran friend
"('friend', 'family')",1,friend family
"('lake', 'masonic')",1,lake masonic
"('family', 'nisei')",1,family nisei
"('society', 'clear')",1,society clear
"('packwaukee', 'historical')",1,packwaukee historical
"('nisei', 'veteran')",1,nisei veteran
"('art', 'packwaukee')",1,art packwaukee
"('friend', 'columbia')",1,friend columbia
"('crosstown', 'foundation')",1,crosstown foundation
"('center', 'hudson')",1,center hudson
"('burnet', 'community')",1,burnet community
"('old', 'burnet')",1,old burnet
"('store', 'museum')",1,store museum
"('pioneer', 'store')",1,pioneer store
"('foundation', 'pioneer')",1,foundation pioneer
"('hart', 'foundation')",1,hart foundation
"('pc', 'friend')",1,pc friend
"('town', 'shandaken')",1,town shandaken
"('shandaken', 'historical')",1,shandaken historical
"('association', 'pc')",1,association pc
"('broad', 'crosstown')",1,broad crosstown
"('inc', 'broad')",1,inc broad
"('montezuma', 'county')",1,montezuma county
"('inc', 'montezuma')",1,inc montezuma
"('disaster', 'safety')",1,disaster safety
"('mary', 'disaster')",1,mary disaster
"('center', 'st')",1,center st
"('austin', 'aquarium')",1,austin aquarium
"('greater', 'austin')",1,greater austin
"('bennet', 'area')",1,bennet area
"('club', 'bennet')",1,club bennet
"('thresher', 'club')",1,thresher club
"('engine', 'thresher')",1,engine thresher
"('cavalry', 'association')",1,cavalry association
"('michigan', 'steam')",1,michigan steam
"('history', 'schroeter')",1,history schroeter
"('railroad', 'hotel')",1,railroad hotel
"('louisiana', 'museum')",1,louisiana museum
"('museum', 'family')",1,museum family
"('inc', 'sanderson')",1,inc sanderson
"('waterway', 'transportation')",1,waterway transportation
"('inc', 'waterway')",1,inc waterway
"('restoration', 'hall')",1,restoration hall
"('der', 'brohe')",1,der brohe
"('library', 'restoration')",1,library restoration
"('family', 'library')",1,family library
"('brewer', 'museum')",1,brewer museum
"('naranjo', 'museum')",1,naranjo museum
"('th', 'brewer')",1,th brewer
"('motion', 'th')",1,motion th
"('museum', 'motion')",1,museum motion
"('brohe', 'arboretum')",1,brohe arboretum
"('hamburg', 'area')",1,hamburg area
"('garden', 'hamburg')",1,garden hamburg
"('mission', 'oak')",1,mission oak
"('sanderson', 'museum')",1,sanderson museum
"('village', 'william')",1,village william
"('van', 'der')",1,van der
"('association', 'van')",1,association van
"('inc', 'wittemberg')",1,inc wittemberg
"('foundation', 'jewish')",1,foundation jewish
"('california', 'art')",1,california art
"('tribute', 'northern')",1,tribute northern
"('touching', 'tribute')",1,touching tribute
"('foundation', 'touching')",1,foundation touching
"('stafford', 'air')",1,stafford air
"('museum', 'stafford')",1,museum stafford
"('community', 'library')",1,community library
"('society', 'southwest')",1,society southwest
"('gordon', 'community')",1,gordon community
"('advertising', 'design')",1,advertising design
"('museum', 'advertising')",1,museum advertising
"('eisner', 'museum')",1,eisner museum
"('f', 'eisner')",1,f eisner
"('history', 'mission')",1,history mission
"('inc', 'naranjo')",1,inc naranjo
"('wittemberg', 'church')",1,wittemberg church
"('judeo', 'christian')",1,judeo christian
"('war', 'crape')",1,war crape
"('archive', 'center')",1,archive center
"('police', 'archive')",1,police archive
"('vermont', 'state')",1,vermont state
"('association', 'vermont')",1,association vermont
"('cumberland', 'master')",1,cumberland master
"('lake', 'cumberland')",1,lake cumberland
"('sequim', 'botanical')",1,sequim botanical
"('piedmont', 'railroad')",1,piedmont railroad
"('inc', 'sequim')",1,inc sequim
"('bellis', 'foundation')",1,bellis foundation
"('inc', 'bellis')",1,inc bellis
"('christian', 'alliance')",1,christian alliance
"('holocaust', 'wayne')",1,holocaust wayne
"('memorial', 'holocaust')",1,memorial holocaust
"('living', 'memorial')",1,living memorial
"('crape', 'myrtle')",1,crape myrtle
"('myrtle', 'trail')",1,myrtle trail
"('trail', 'mckinney')",1,trail mckinney
"('mckinney', 'foundation')",1,mckinney foundation
"('foundation', 'piedmont')",1,foundation piedmont
"('pisano', 'foundation')",1,pisano foundation
"('inc', 'pope')",1,inc pope
"('baker', 'pisano')",1,baker pisano
"('museum', 'baker')",1,museum baker
"('fireboat', 'firefighter')",1,fireboat firefighter
"('sail', 'fireboat')",1,sail fireboat
"('city', 'sail')",1,city sail
"('gloucester', 'city')",1,gloucester city
"('inc', 'gloucester')",1,inc gloucester
"('indiana', 'sport')",1,indiana sport
"('gary', 'indiana')",1,gary indiana
"('association', 'gary')",1,association gary
"('pope', 'art')",1,pope art
"('art', 'judeo')",1,art judeo
"('patrick', 'foundation')",1,patrick foundation
"('church', 'historical')",1,church historical
"('appalachian', 'trail')",1,appalachian trail
"('street', 'garden')",1,street garden
"('memorial', 'guinea')",1,memorial guinea
"('lake', 'monster')",1,lake monster
"('truck', 'history')",1,truck history
"('incorporated', 'history')",1,incorporated history
"('rowe', 'jr')",1,rowe jr
"('b', 'rowe')",1,b rowe
"('c', 'b')",1,c b
"('elizabeth', 'street')",1,elizabeth street
"('corp', 'foundation')",1,corp foundation
"('foundation', 'elizabeth')",1,foundation elizabeth
"('cannery', 'foundation')",1,cannery foundation
"('hanthorn', 'cannery')",1,hanthorn cannery
"('center', 'hanthorn')",1,center hanthorn
"('society', 'cumberland')",1,society cumberland
"('history', 'prize')",1,history prize
"('prize', 'corporation')",1,prize corporation
"('guinea', 'museum')",1,guinea museum
"('indiana', 'heritage')",1,indiana heritage
"('heritage', 'quilt')",1,heritage quilt
"('quilt', 'show')",1,quilt show
"('hotel', 'historical')",1,hotel historical
"('association', 'appalachian')",1,association appalachian
"('railway', 'chapter')",1,railway chapter
"('park', 'railway')",1,park railway
"('beach', 'park')",1,beach park
"('museum', 'cambridge')",1,museum cambridge
"('lock', 'athletic')",1,lock athletic
"('cambridge', 'brickwalk')",1,cambridge brickwalk
"('organization', 'windsor')",1,organization windsor
"('frenchtown', 'civic')",1,frenchtown civic
"('entrepreneurship', 'frenchtown')",1,entrepreneurship frenchtown
"('brickwalk', 'conservancy')",1,brickwalk conservancy
"('innovation', 'entrepreneurship')",1,innovation entrepreneurship
"('black', 'innovation')",1,black innovation
"('conservancy', 'great')",1,conservancy great
"('corporation', 'carolina')",1,corporation carolina
"('woman', 'corp')",1,woman corp
"('society', 'traditional')",1,society traditional
"('foundation', 'sixty')",1,foundation sixty
"('island', 'computer')",1,island computer
"('inc', 'madi')",1,inc madi
"('lincoln', 'botanical')",1,lincoln botanical
"('bath', 'lincoln')",1,bath lincoln
"('museum', 'bath')",1,museum bath
"('sixty', 'museum')",1,sixty museum
"('madi', 'world')",1,madi world
"('association', 'foundation')",1,association foundation
"('carolina', 'coastal')",1,carolina coastal
"('corp', 'association')",1,corp association
"('world', 'art')",1,world art
"('fulton', 'master')",1,fulton master
"('north', 'fulton')",1,north fulton
"('jersey', 'north')",1,jersey north
"('st', 'patrick')",1,st patrick
"('traditional', 'cowboy')",1,traditional cowboy
"('c', 'inc')",1,c inc
"('historic', 'trinity')",1,historic trinity
"('trinity', 'inc')",1,trinity inc
"('paul', 'ace')",1,paul ace
"('coastal', 'railroader')",1,coastal railroader
"('suzani', 'museum')",1,suzani museum
"('railroader', 'foothill')",1,railroader foothill
"('inc', 'suzani')",1,inc suzani
"('claire', 'inc')",1,claire inc
"('eau', 'claire')",1,eau claire
"('museum', 'eau')",1,museum eau
"('family', 'childrens')",1,family childrens
"('veteran', 'family')",1,veteran family
"('ii', 'veteran')",1,ii veteran
"('minority', 'world')",1,minority world
"('black', 'minority')",1,black minority
"('foothill', 'e')",1,foothill e
"('e', 'c')",1,e c
"('ace', 'museum')",1,ace museum
"('lake', 'preston')",1,lake preston
"('piermont', 'historical')",1,piermont historical
"('history', 'west')",1,history west
"('incorporated', 'acre')",1,incorporated acre
"('corp', 'texarkana')",1,corp texarkana
"('world', 'aviation')",1,world aviation
"('florence', 'heritage')",1,florence heritage
"('inc', 'florence')",1,inc florence
"('neighborhood', 'historical')",1,neighborhood historical
"('west', 'wfk')",1,west wfk
"('acre', 'new')",1,acre new
"('wfk', 'ice')",1,wfk ice
"('tyler', 'tap')",1,tyler tap
"('inc', 'shelburne')",1,inc shelburne
"('fremont', 'firefighter')",1,fremont firefighter
"('railroader', 'fremont')",1,railroader fremont
"('shelburne', 'museum')",1,shelburne museum
"('area', 'model')",1,area model
"('torrington', 'area')",1,torrington area
"('chapter', 'torrington')",1,chapter torrington
"('texarkana', 'broad')",1,texarkana broad
"('inc', 'ney')",1,inc ney
"('ney', 'environmental')",1,ney environmental
"('environmental', 'education')",1,environmental education
"('iowa', 'trucking')",1,iowa trucking
"('mountain', 'west')",1,mountain west
"('williams', 'fire')",1,williams fire
"('l', 'williams')",1,l williams
"('lester', 'l')",1,lester l
"('dr', 'lester')",1,dr lester
"('friend', 'dr')",1,friend dr
"('shooting', 'hall')",1,shooting hall
"('action', 'shooting')",1,action shooting
"('cowboy', 'action')",1,cowboy action
"('museum', 'cowboy')",1,museum cowboy
"('sas', 'museum')",1,sas museum
"('station', 'sas')",1,station sas
"('doolittle', 'station')",1,doolittle station
"('foundation', 'doolittle')",1,foundation doolittle
"('tap', 'chapter')",1,tap chapter
"('inc', 'tyler')",1,inc tyler
"('museum', 'ruthmere')",1,museum ruthmere
"('austin', 'zoological')",1,austin zoological
"('american', 'racing')",1,american racing
"('kansa', 'auto')",1,kansa auto
"('calico', 'rock')",1,calico rock
"('inc', 'calico')",1,inc calico
"('trail', 'preservation')",1,trail preservation
"('outlaw', 'trail')",1,outlaw trail
"('inc', 'outlaw')",1,inc outlaw
"('nature', 'culture')",1,nature culture
"('belt', 'rail')",1,belt rail
"('museum', 'nature')",1,museum nature
"('wisconsin', 'museum')",1,wisconsin museum
"('pullman', 'housefoundation')",1,pullman housefoundation
"('housefoundation', 'thomas')",1,housefoundation thomas
"('leroy', 'community')",1,leroy community
"('guild', 'leroy')",1,guild leroy
"('jefferson', 'garden')",1,jefferson garden
"('racing', 'performance')",1,racing performance
"('performance', 'museum')",1,performance museum
"('historic', 'pullman')",1,historic pullman
"('museum', 'lift')",1,museum lift
"('cotton', 'belt')",1,cotton belt
"('museum', 'cotton')",1,museum cotton
"('incorporated', 'bielenberg')",1,incorporated bielenberg
"('bafb', 'cold')",1,bafb cold
"('inc', 'bafb')",1,inc bafb
"('stem', 'center')",1,stem center
"('gateway', 'stem')",1,gateway stem
"('museum', 'gateway')",1,museum gateway
"('ranch', 'living')",1,ranch living
"('bielenberg', 'historic')",1,bielenberg historic
"('gendron', 'ranch')",1,gendron ranch
"('war', 'gendron')",1,war gendron
"('sing', 'daughter')",1,sing daughter
"('heart', 'sing')",1,heart sing
"('lift', 'heart')",1,lift heart
"('trucking', 'museum')",1,trucking museum
"('ruthmere', 'foundation')",1,ruthmere foundation
"('beach', 'artist')",1,beach artist
"('museum', 'elston')",1,museum elston
"('destin', 'fishing')",1,destin fishing
"('museum', 'destin')",1,museum destin
"('indian', 'memorial')",1,indian memorial
"('tomaquag', 'indian')",1,tomaquag indian
"('animation', 'hall')",1,animation hall
"('foundation', 'tomaquag')",1,foundation tomaquag
"('elston', 'memorial')",1,elston memorial
"('inc', 'chicagoland')",1,inc chicagoland
"('john', 'louis')",1,john louis
"('alaska', 'army')",1,alaska army
"('chicagoland', 'combined')",1,chicagoland combined
"('clock', 'alaska')",1,clock alaska
"('museum', 'clock')",1,museum clock
"('combined', 'veteran')",1,combined veteran
"('fame', 'southwest')",1,fame southwest
"('popple', 'sport')",1,popple sport
"('alabama', 'gang')",1,alabama gang
"('gang', 'racing')",1,gang racing
"('museum', 'animation')",1,museum animation
"('island', 'radio')",1,island radio
"('inc', 'cavanaugh')",1,inc cavanaugh
"('museum', 'pinball')",1,museum pinball
"('cavanaugh', 'flight')",1,cavanaugh flight
"('mill', 'restoration')",1,mill restoration
"('sturgeon', 'mill')",1,sturgeon mill
"('foundation', 'sturgeon')",1,foundation sturgeon
"('warbird', 'foundation')",1,warbird foundation
"('historic', 'warbird')",1,historic warbird
"('family', 'garden')",1,family garden
"('familia', 'family')",1,familia family
"('la', 'familia')",1,la familia
"('huerto', 'de')",1,huerto de
"('society', 'huerto')",1,society huerto
"('television', 'historical')",1,television historical
"('radio', 'television')",1,radio television
"('louis', 'popple')",1,louis popple
"('material', 'john')",1,material john
"('jacob', 'k')",1,jacob k
"('stoughton', 'historical')",1,stoughton historical
"('national', 'wasp')",1,national wasp
"('gardner', 'historical')",1,gardner historical
"('inc', 'stoughton')",1,inc stoughton
"('school', 'historic')",1,school historic
"('higgerson', 'school')",1,higgerson school
"('foundation', 'higgerson')",1,foundation higgerson
"('possibility', 'foundation')",1,possibility foundation
"('lake', 'chelan')",1,lake chelan
"('visual', 'material')",1,visual material
"('jrp', 'possibility')",1,jrp possibility
"('chelan', 'museum')",1,chelan museum
"('wildlife', 'natural')",1,wildlife natural
"('center', 'jrp')",1,center jrp
"('brown', 'contemporary')",1,brown contemporary
"('k', 'brown')",1,k brown
"('museum', 'mountain')",1,museum mountain
"('wasp', 'wwii')",1,wasp wwii
"('denton', 'masonic')",1,denton masonic
"('library', 'hmm')",1,library hmm
"('hmm', 'veteran')",1,hmm veteran
"('museum', 'visual')",1,museum visual
"('hudson', 'foundation')",1,hudson foundation
"('library', 'yampa')",1,library yampa
"('yampa', 'egeria')",1,yampa egeria
"('feature', 'hudson')",1,feature hudson
"('museum', 'feature')",1,museum feature
"('yadkin', 'cultural')",1,yadkin cultural
"('fork', 'yadkin')",1,fork yadkin
"('inc', 'fork')",1,inc fork
"('egeria', 'historical')",1,egeria historical
"('inc', 'gardner')",1,inc gardner
"('country', 'club')",1,country club
"('navy', 'country')",1,navy country
"('army', 'navy')",1,army navy
"('association', 'army')",1,association army
"('garden', 'greene')",1,garden greene
"('county', 'virginia')",1,county virginia
"('kingston', 'historical')",1,kingston historical
"('inc', 'providence')",1,inc providence
"('historic', 'fire')",1,historic fire
"('sedalia', 'historic')",1,sedalia historic
"('island', 'sedalia')",1,island sedalia
"('artillery', 'museum')",1,artillery museum
"('museum', 'runge')",1,museum runge
"('corp', 'artillery')",1,corp artillery
"('providence', 'marine')",1,providence marine
"('wolff', 'foundation')",1,wolff foundation
"('military', 'historical')",1,military historical
"('wolfgang', 'wolff')",1,wolfgang wolff
"('fame', 'wolfgang')",1,fame wolfgang
"('runge', 'museum')",1,runge museum
"('maine', 'baseball')",1,maine baseball
"('association', 'president')",1,association president
"('paul', 'idaho')",1,paul idaho
"('wttc', 'inc')",1,wttc inc
"('museum', 'speed')",1,museum speed
"('speed', 'bedford')",1,speed bedford
"('hampshire', 'telephone')",1,hampshire telephone
"('bedford', 'fairground')",1,bedford fairground
"('poplar', 'bluff')",1,poplar bluff
"('mn', 'poplar')",1,mn poplar
"('rochester', 'mn')",1,rochester mn
"('cue', 'art')",1,cue art
"('emergency', 'service')",1,emergency service
"('veteran', 'emergency')",1,veteran emergency
"('boal', 'estate')",1,boal estate
"('foundation', 'boal')",1,foundation boal
"('colt', 'heritage')",1,colt heritage
"('elizabeth', 'colt')",1,elizabeth colt
"('sam', 'elizabeth')",1,sam elizabeth
"('inc', 'sam')",1,inc sam
"('coleraine', 'historical')",1,coleraine historical
"('museum', 'mill')",1,museum mill
"('fairground', 'coleraine')",1,fairground coleraine
"('society', 'wttc')",1,society wttc
"('rural', 'art')",1,rural art
"('inc', 'cue')",1,inc cue
"('twain', 'trail')",1,twain trail
"('suttons', 'bay')",1,suttons bay
"('rice', 'festival')",1,rice festival
"('club', 'suttons')",1,club suttons
"('bay', 'garden')",1,bay garden
"('trail', 'bay')",1,trail bay
"('festival', 'inc')",1,festival inc
"('friend', 'kingston')",1,friend kingston
"('mark', 'twain')",1,mark twain
"('black', 'diamond')",1,black diamond
"('manfred', 'history')",1,manfred history
"('chapter', 'manfred')",1,chapter manfred
"('montco', 'chapter')",1,montco chapter
"('fame', 'montco')",1,fame montco
"('pennsylvania', 'sport')",1,pennsylvania sport
"('roc', 'archive')",1,roc archive
"('museum', 'roc')",1,museum roc
"('bay', 'friend')",1,bay friend
"('friend', 'baxter')",1,friend baxter
"('baxter', 'depot')",1,baxter depot
"('depot', 'st')",1,depot st
"('colby', 'rural')",1,colby rural
"('museum', 'colby')",1,museum colby
"('dayton', 'peace')",1,dayton peace
"('diamond', 'historical')",1,diamond historical
"('medina', 'school')",1,medina school
"('louisville', 'naval')",1,louisville naval
"('carolina', 'rice')",1,carolina rice
"('timbermill', 'museum')",1,timbermill museum
"('garyville', 'timbermill')",1,garyville timbermill
"('chapter', 'garyville')",1,chapter garyville
"('warbird', 'eaa')",1,warbird eaa
"('cascade', 'warbird')",1,cascade warbird
"('fame', 'cascade')",1,fame cascade
"('bernard', 'hall')",1,bernard hall
"('st', 'bernard')",1,st bernard
"('bluff', 'historic')",1,bluff historic
"('depot', 'restoration')",1,depot restoration
"('colonial', 'beach')",1,colonial beach
"('road', 'pioneer')",1,road pioneer
"('tubman', 'organization')",1,tubman organization
"('county', 'surfing')",1,county surfing
"('museum', 'harriet')",1,museum harriet
"('traincar', 'museum')",1,traincar museum
"('savanna', 'traincar')",1,savanna traincar
"('inc', 'savanna')",1,inc savanna
"('surfing', 'history')",1,surfing history
"('north', 'road')",1,north road
"('wheat', 'dreamer')",1,wheat dreamer
"('inc', 'meagher')",1,inc meagher
"('celina', 'area')",1,celina area
"('meagher', 'county')",1,meagher county
"('museum', 'celina')",1,museum celina
"('air', 'rescue')",1,air rescue
"('inc', 'chilhowee')",1,inc chilhowee
"('center', 'creative')",1,center creative
"('inc', 'linnaean')",1,inc linnaean
"('linnaean', 'society')",1,linnaean society
"('society', 'ny')",1,society ny
"('ny', 'old')",1,ny old
"('row', 'colonial')",1,row colonial
"('artist', 'row')",1,artist row
"('street', 'artist')",1,street artist
"('virginia', 'musical')",1,virginia musical
"('house', 'broad')",1,house broad
"('musical', 'museum')",1,musical museum
"('hannibal', 'house')",1,hannibal house
"('museum', 'hannibal')",1,museum hannibal
"('hortulus', 'farm')",1,hortulus farm
"('inc', 'hortulus')",1,inc hortulus
"('site', 'committee')",1,site committee
"('age', 'site')",1,age site
"('virginia', 'music')",1,virginia music
"('vero', 'ice')",1,vero ice
"('old', 'vero')",1,old vero
"('dreamer', 'center')",1,dreamer center
"('novella', 'wheat')",1,novella wheat
"('restoration', 'corporation')",1,restoration corporation
"('culture', 'greater')",1,culture greater
"('society', 'jesse')",1,society jesse
"('bird', 'society')",1,bird society
"('cage', 'bird')",1,cage bird
